suggestion_id,judge_key,model,prompt_style,call_path,verdict,score,reason,ollama_total_ms,http_status,raw_label,raw_json
21,llama32_ai_classify,llama3.2:3b,classify_short,ai_classify,keep,80,ai_classify label=keep,,,keep,
21,llama32_foia,llama3.2:3b,foia_strict,http_generate,keep,100,citation,293.550667,200,,"{""verdict"": ""keep"", ""score"": 100, ""reason"": ""citation""}"
21,qwen25_brief,qwen2.5:7b,brief,http_generate,keep,85,Citation context,389.176792,200,,"{""verdict"":""keep"",""score"":85,""reason"":""Citation context""}"
65,llama32_ai_classify,llama3.2:3b,classify_short,ai_classify,redact,80,ai_classify label=redact,,,redact,
65,llama32_foia,llama3.2:3b,foia_strict,http_generate,keep,80,Street name shares surname with no house number,339.5595,200,,"{""verdict"": ""keep"", ""score"": 80, ""reason"": ""Street name shares surname with no house number""}"
65,qwen25_brief,qwen2.5:7b,brief,http_generate,keep,10,street name,375.499292,200,,"{""verdict"":""keep"",""score"":10,""reason"":""street name""}"
74,llama32_ai_classify,llama3.2:3b,classify_short,ai_classify,redact,80,ai_classify label=redact,,,redact,
74,llama32_foia,llama3.2:3b,foia_strict,http_generate,keep,100,citation,293.098167,200,,"{""verdict"": ""keep"", ""score"": 100, ""reason"": ""citation""}"
74,qwen25_brief,qwen2.5:7b,brief,http_generate,keep,85,Citation context,386.235625,200,,"{""verdict"":""keep"",""score"":85,""reason"":""Citation context""}"
108,llama32_ai_classify,llama3.2:3b,classify_short,ai_classify,keep,80,ai_classify label=keep,,,keep,
108,llama32_foia,llama3.2:3b,foia_strict,http_generate,keep,90,Reporting officer name with badge number is a street label,345.601125,200,,"{""verdict"": ""keep"", ""score"": 90, ""reason"": ""Reporting officer name with badge number is a street label""}"
108,qwen25_brief,qwen2.5:7b,brief,http_generate,keep,50,Officer identification,393.737125,200,,"{""verdict"":""keep"",""score"":50,""reason"":""Officer identification""}"
109,llama32_ai_classify,llama3.2:3b,classify_short,ai_classify,redact,80,ai_classify label=redact,,,redact,
109,llama32_foia,llama3.2:3b,foia_strict,http_generate,keep,80,"Street name shares surname with no house number, not protected PII",366.588709,200,,"{""verdict"": ""keep"", ""score"": 80, ""reason"": ""Street name shares surname with no house number, not protected PII""}"
109,qwen25_brief,qwen2.5:7b,brief,http_generate,redact,85,Subject PII,515.428541,200,,"{
  ""verdict"": ""redact"",
  ""score"": 85,
  ""reason"": ""Subject PII""
}"
110,llama32_ai_classify,llama3.2:3b,classify_short,ai_classify,redact,80,ai_classify label=redact,,,redact,
110,llama32_foia,llama3.2:3b,foia_strict,http_generate,redact,0,DOB is protected PII,314.47025,200,,"{""verdict"": ""redact"", ""score"": 0, ""reason"": ""DOB is protected PII""}"
110,qwen25_brief,qwen2.5:7b,brief,http_generate,redact,85,Contains DOB and full name,545.497541,200,,"{
  ""verdict"": ""redact"",
  ""score"": 85,
  ""reason"": ""Contains DOB and full name""
}"
111,llama32_ai_classify,llama3.2:3b,classify_short,ai_classify,redact,80,ai_classify label=redact,,,redact,
111,llama32_foia,llama3.2:3b,foia_strict,http_generate,keep,80,"Street name shares surname with no house number, not protected PII",369.91325,200,,"{""verdict"": ""keep"", ""score"": 80, ""reason"": ""Street name shares surname with no house number, not protected PII""}"
111,qwen25_brief,qwen2.5:7b,brief,http_generate,redact,85,Contains subject PII,541.289459,200,,"{
  ""verdict"": ""redact"",
  ""score"": 85,
  ""reason"": ""Contains subject PII""
}"
113,llama32_ai_classify,llama3.2:3b,classify_short,ai_classify,redact,80,ai_classify label=redact,,,redact,
113,llama32_foia,llama3.2:3b,foia_strict,http_generate,redact,0,SSN,289.582542,200,,"{""verdict"": ""redact"", ""score"": 0, ""reason"": ""SSN""}"
113,qwen25_brief,qwen2.5:7b,brief,http_generate,redact,85,SSN is PII,566.833958,200,,"{
  ""verdict"": ""redact"",
  ""score"": 85,
  ""reason"": ""SSN is PII""
}"
117,llama32_ai_classify,llama3.2:3b,classify_short,ai_classify,redact,80,ai_classify label=redact,,,redact,
117,llama32_foia,llama3.2:3b,foia_strict,http_generate,redact,0,phone number,296.590917,200,,"{""verdict"": ""redact"", ""score"": 0, ""reason"": ""phone number""}"
117,qwen25_brief,qwen2.5:7b,brief,http_generate,redact,95,Subject PII,509.137875,200,,"{
  ""verdict"": ""redact"",
  ""score"": 95,
  ""reason"": ""Subject PII""
}"
118,llama32_ai_classify,llama3.2:3b,classify_short,ai_classify,redact,80,ai_classify label=redact,,,redact,
118,llama32_foia,llama3.2:3b,foia_strict,http_generate,keep,80,"Street name shares surname with no house number, not protected PII",369.66425,200,,"{""verdict"": ""keep"", ""score"": 80, ""reason"": ""Street name shares surname with no house number, not protected PII""}"
118,qwen25_brief,qwen2.5:7b,brief,http_generate,keep,100,"street name, not PII",432.023667,200,,"{""verdict"":""keep"",""score"":100,""reason"":""street name, not PII""}"
146,llama32_ai_classify,llama3.2:3b,classify_short,ai_classify,redact,80,ai_classify label=redact,,,redact,
146,llama32_foia,llama3.2:3b,foia_strict,http_generate,keep,80,"Street name shares surname with no house number, not protected PII",390.023208,200,,"{""verdict"": ""keep"", ""score"": 80, ""reason"": ""Street name shares surname with no house number, not protected PII""}"
146,qwen25_brief,qwen2.5:7b,brief,http_generate,keep,50,legal citation and location,467.498375,200,,"{""verdict"":""keep"",""score"":50,""reason"":""legal citation and location""}"
